Inclusion criteria for the study were patients with symp- tomatic knee osteoarthritis.,Inclusion criteria study patients symp- tomatic knee osteoarthritis.,C0007637|C0243161|C0557651|C0030705|G0000000|G0000000|C0022742|C0029408
"Between 2004 and 2006, we randomized 50 patients to receive one of 2 types of femoral stems: a distally tapered, extended coated stem or a straight, proximally coated stem.","Between 2004 2006, randomized 50 patients receive 2 types femoral stems: distally tapered, extended coated stem straight, proximally coated stem.",G0000000|G0000000|G0000000|C0034656|C0450371|C0030705|C1514756|G0000000|C0332307|C0015811|C1186763|G0000000|C0441640|C0231448|C1522408|C0242767|C0445291|G0000000|C1522408|C0242767
"For our present genetic study, we included only one of each member of a sibling pair and excluded participants of non-European ancestry;","For genetic study, included sibling pair excluded participants non-European ancestry;",G0000000|C0017296|C0557651|C0332257|C0037047|C1709450|C1554077|C0679646|C1518422|G0000000
"Between 1997 and 2000, 16 knees in 15 patients were treated surgically due to a symptomatic isolated traumatic cartilage injury on the medial femoral condyle.","Between 1997 2000, 16 knees 15 patients treated surgically symptomatic isolated traumatic cartilage injury medial femoral condyle.",G0000000|G0000000|G0000000|C0450371|C0022742|C0450371|C0030705|C1522326|C0543467|C0231220|C0205409|C0332663|C0007301|C3263722|C0205098|C0015811|C0524414
The median age was 36 years (range 6_56).,The median age 36 (range 6_56).,G0000000|C0549183|C0001779|C0450371|C1514721|G0000000
"From January 1999 through April 2001, patients less than 65 years of age with primary or secondary osteoarthritis were prospectively included in the study.","From January 1999 April 2001, patients 65 age primary secondary osteoarthritis prospectively included study.",G0000000|C3829466|G0000000|C3715024|G0000000|C0030705|C0450371|C0001779|C0205225|C0027627|C0029408|G0000000|C0332257|C0557651
"Current or previous users of bone health medications or children who had a medical condition known to affect bone health were also excluded, as were children who had experienced extended bed rest.","Current previous users bone health medications children medical condition affect bone health excluded, children experienced extended bed rest.",C0521116|C0205156|C1706077|C0262950|C0018684|C0013227|C0008059|C0199168|C0012634|C0001721|C0262950|C0018684|C1554077|C0008059|C0237607|C0231448|C0004916|C0035253
"The trial was open to ages 1_21 with ALL in CR1 and CR2, utilizing related and unrelated bone marrow or cord blood.","The trial ages 1_21 ALL CR1 CR2, utilizing unrelated bone marrow cord blood.",G0000000|C0008976|C0001779|G0000000|C0444868|C1413723|C1413723|G0000000|C0445356|C0262950|C0086590|C1550235|C0005767
"Exclusion criteria included birth injury, congenital anomalies, severe CNS injury (birth asphyxia, congenital hydrocephalus), complex cardiac defects, hypothyroid, or inborn errors of metabolism as these types of conditions may influence the infant__ development.","Exclusion criteria included birth injury, congenital anomalies, severe CNS injury (birth asphyxia, congenital hydrocephalus), complex cardiac defects, hypothyroid, inborn errors metabolism types conditions influence infant__ development.",C0680251|C0243161|C0332257|C0005615|C3263722|C0009678|C0000769|C0205082|C3714787|C3263722|C0005615|C0004044|C0009678|C0020255|C0439855|C0018787|C0243067|C0020676|G0000000|C0743559|C0025519|C0332307|C0012634|C4054723|G0000000|C0243107
"Twenty-eight patients with advanced hematological malignancies, all adults except one, were enrolled in this study.","Twenty-eight patients advanced hematological malignancies, adults one, enrolled study.",C0724000|C0030705|C0205179|C0018943|C0006826|C0001675|C0205447|G0000000|C0557651
Patients had no symptoms before the injury of the affected knee.,Patients symptoms injury knee.,C0030705|C0683368|C3263722|C0022742
Participants (N=138) were primarily male (60.1%) and Caucasian (84.8%) and on average 60.4 years old (see Table 1).,Participants (N=138) male (60.1%) Caucasian (84.8%) average 60.4 (see Table 1).,C0679646|C0369718|C0086582|C0450371|C0007457|C0450371|C1510992|C0450371|C0042789|C0039224|G0000000
"To be enrolled, the participants had to meet the following criteria: term birth (_37 weeks gestation), birth weight >2.3 kg, no evidence of precocious or delayed puberty, and height, weight, or BMI within the 3rd to the 97th percentiles for age and sex.","To enrolled, participants meet criteria: term birth (_37 weeks gestation), birth weight >2.3 kg, evidence precocious delayed puberty, height, weight, BMI 3rd 97th percentiles age sex.",C0040363|G0000000|C0679646|C1550543|C0243161|C0233324|C0005615|G0000000|C0439230|C0032961|C0005615|C0005910|G0000000|C0022718|C3887511|C1279930|C0205421|C0034011|C0489786|C0005910|G0000000|G0000000|G0000000|C1264641|C0001779|C0009253
"Patients with severe aplastic anemia or lymphoma were excluded, recognizing the difference in natural history.","Patients severe aplastic anemia lymphoma excluded, recognizing difference natural history.",C0030705|C0205082|C0334079|C0002871|C0024299|C1554077|G0000000|C1705241|C0205296|C0019664
The median recipient age at transplant was 37 years (<1_67) and 58% were male.,The median recipient age transplant 37 (<1_67) 58% male.,G0000000|C0549183|C1709854|C0001779|C0040732|C0450371|G0000000|C0450371|C0086582
Thirty-six patients were randomized to treatment with either fixed distraction or distraction with motion.,Thirty-six patients randomized treatment fixed distraction distraction motion.,C3816446|C0030705|C0034656|C0039798|C0443218|C0150189|C0150189|C0026597
"Participants with knee pain were recruited from orthopaedic clinics, physiotherapy clinics, and through advertisements in the local media.","Participants knee pain recruited orthopaedic clinics, physiotherapy clinics, advertisements local media.",C0679646|C0022742|C0030193|G0000000|C0029355|C0442592|C0949766|C0442592|C0949214|C0205276|C0009458
"Between 2004 and 2006, we conducted a randomized, controlled trial (RCT) involving 50 patients with non-inflammatory arthritis.","Between 2004 2006, conducted randomized, controlled trial (RCT) involving 50 patients non-inflammatory arthritis.",G0000000|G0000000|G0000000|C0004927|C0034656|C2587213|C0008976|G0000000|C1314939|C0450371|C0030705|C0442743|C0003864
"Longitudinal data from the Bone Mineral Density in Childhood Study were analyzed (N = 798, 54% female, all European ancestry).","Longitudinal data Bone Mineral Density Childhood Study analyzed (N = 798, 54% female, European ancestry).",C0205127|C1511726|C0262950|C0006660|C0178587|C0231335|C0557651|C0936012|C0369718|G0000000|C1442061|C0450371|C0015780|C0239307|G0000000
"In 2006_2007, 5- and 19-year-olds were additionally enrolled to extend the reference percentiles; these participants were followed up annually for 2 years.","In 2006_2007, 5- 19-year-olds additionally enrolled extend reference percentiles; participants annually 2 years.",G0000000|G0000000|G0000000|C0450371|G0000000|G0000000|C0231448|C1514811|C1264641|C0679646|C0332181|G0000000|C0439234
"Preterm infants were recruited for study from the neonatal intensive care unit at the University of Utah Hospital or Intermountain Medical Center, Salt Lake City, Utah.","Preterm infants recruited study neonatal intensive care unit University Utah Hospital Intermountain Medical Center, Salt Lake City, Utah.",C0151526|C0021270|G0000000|C0557651|C1552240|C0162425|C1947933|C0439148|C0041740|C0042124|C0019994|G0000000|C0199168|C0205099|C0036140|C0337049|C0008848|C0042124
