DHEA,dhea,C0011185
Magnesium,magnesium,C0024467
snacks,snacks,C0453863
health counseling,health counseling,C0018684|C0010210
scanning electron microscopy,scanning electron microscopy,C0034606|C0013852|C0026018
structural equation modeling ( SEM ),structural equation modeling sem,C0678594|C0552449|C0870071|G0000000
clinical neurosensory testing,clinical neurosensory testing,C0205210|G0000000|C0039593
EEG,eeg,C0013819
Docetaxel,docetaxel,C0246415
"pertussis vaccine , PRP-P.",pertussis vaccine prp-p,C0043167|C0042210|C0032027
the Grosse-Kempf nail,grosse-kempf nail,G0000000|C0027342
new portable Fleisch pneumotachograph spirometer,portable fleisch pneumotachograph spirometer,G0000000|G0000000|C0182334|C0183441
nonpharmacologic treatments,nonpharmacologic treatments,G0000000|C0087111
Phenobarbital,phenobarbital,C0031412
nutrition,nutrition,C0028707
EES,ees,G0000000
sodium tetradecyl sulfate 1.5 % ;,sodium tetradecyl sulfate 1 5 %,C0037473|G0000000|C0038720|G0000000|G0000000|G0000000
angiotensin II receptor blocker valsartan,angiotensin ii receptor blocker valsartan,C0003018|G0000000|C0597357|G0000000|C0216784
Allogeneic hematopoietic stem-cell transplantation,allogeneic hematopoietic stem-cell transplantation,C1515895|C0018957|C0038250|C0040732
TTS-scopolamine-treated,tts-scopolamine-treated,C0036442
Project SEARCH plus ASD Supports,project search asd supports,C1709701|C1552603|C0003516|C0183683
timolol to latanoprost or adding latanoprost to timolol,timolol latanoprost adding latanoprost timolol,C0040233|C0090306|C1883712|C0090306|C0040233
standard disinfection procedure,standard disinfection procedure,C1442989|C0012683|C0184661
TIVA,tiva,G0000000
Dipeptidyl peptidase 4 ( DPP-4 ) inhibitors,dipeptidyl peptidase 4 dpp-4 inhibitors,G0000000|C0030940|G0000000|C1414174|C0243077
cognitive task,cognitive task,C1516691|C3540678
only indwelling ureteral catheter ( IU ),indwelling ureteral catheter iu,C0439848|C0041951|C0085590|C0049272
dual transvenous coils,dual transvenous coils,C1554184|C0522521|C0444764
transdermal estrogen,transdermal estrogen,C0040652|C0014939
postural supports,postural supports,C0205278|C0183683
orthotic heel lifts,orthotic heel lifts,C0813253|C0018870|C0181620
split-dose paclitaxel,split-dose paclitaxel,C1534709|C0144576
EFV,efv,C0674428
1.7 % hydrogen peroxide gel ( Perio Gel ),1 7 % hydrogen peroxide gel perio gel,G0000000|G0000000|G0000000|C0020275|C0031180|C0017243|G0000000|C0017243
"long-term , heavy exercise",long-term heavy exercise,C0443252|C0439539|C0015259
"condyles were placed in the centre of the articular fossa before and during the operation , and in the other group they were not",condyles centre articular fossa operation,C0524414|C0205099|C0022417|C0325079|C0543467
Palliative brachytherapy with or without primary stent placement,palliative brachytherapy primary stent placement,C0587605|C0006098|C0205225|C0038257|C0441587
"group B , sevelamer 3.0 g/day and CC 3.0 g/day ;",sevelamer 3 0 g/day cc 3 0 g/day,C0718050|G0000000|G0000000|C0439417|C3538933|G0000000|G0000000|C0439417
diet,diet,C0012155
MECC,mecc,C0600561
dietary threonine,dietary threonine,C0012155|C0040005
hormone replacement therapy ( HRT ),hormone replacement therapy hrt,C0019932|C0035139|C0039798|C0282402
clozapine-treated,clozapine-treated,C0009079
SCS .,scs,G0000000
bidimensional echocardiography,bidimensional echocardiography,G0000000|C0013516
butter,butter,C0006494
hysteroscopy and endometrial biopsy,hysteroscopy endometrial biopsy,C0020710|C0227843|C0005558
acupuncture and medication,acupuncture medication,C0001299|C0013227
diary to record pain,diary record pain,C0376660|C0034869|C0030193
long-stay,long-stay,C0205166
phlebectomy,phlebectomy,C0191017
placebo treatment,placebo treatment,C0032042|C0039798
didanosine,didanosine,C0012133
therapy with the lipid emulsions,therapy lipid emulsions,C0039798|C0023779|C0014020
"mexiletine ( maximum dose , 600 mg/day )",mexiletine maximum dose 600 mg/day,C0025887|C0806909|C0178602|C1442061|C0439422
Galphimia dilution 10 ( -6 ),galphimia dilution 10 -6,C0330911|C0079240|C0450371|G0000000
Pregabalin ( PRE ),pregabalin pre,C0657912|C0332152
Beverage vs. solid fruits and vegetables :,beverage solid fruits vegetables,C0005329|C0205208|C0016767|C0042440
Virtual reality intervention,virtual reality intervention,C1553497|C0871222|C0886296
weighted-blanket intervention,weighted-blanket intervention,C0005910|C0886296
alpha-2a IFN i.m .,alpha-2a ifn,C0439095|G0000000
( brushing cytology plus biopsy ),brushing cytology biopsy,C0040461|C0010818|C0005558
cardioverter defibrillator,cardioverter defibrillator,C0180307|C0180307
microscopy,microscopy,C0026018
tetanus toxoid combination,tetanus toxoid combination,C0039614|C0040555|C0205195
"5-Fluorouracil ( 5-FU ) , doxorubicin and methotrexate ( FAMTX )",5-fluorouracil 5-fu doxorubicin methotrexate famtx,C0016360|C0016360|C0013089|C0025677|C0051571
ion exchange membrane with 30-microgram dexamethasone elution in a contoured activated carbon tip lead,ion exchange membrane 30-microgram dexamethasone elution contoured activated carbon lead,C0022023|C0678640|C0025255|C0450371|C0011777|C1441565|C0302821|C1879547|C0007009|C0023175
repeated high-single-dose allergen challenge,repeated high-single-dose allergen challenge,C0205341|C0444956|C0002092|C0798503
"crystalloid , furosemide , mannitol ( if pulmonary capillary wedge pressure was < 20 mmHg ) ,",crystalloid furosemide mannitol pulmonary capillary wedge pressure < 20 mmhg,C0056562|C0016860|C0024730|C0024109|C0006901|C0439639|C0033095|G0000000|C0450371|C0439475
no endocrine treatment,endocrine treatment,C0014136|C0039798
microcrystalline,microcrystalline,C3255829
nitazoxanide,nitazoxanide,C0068788
buspirone,buspirone,C0006462
telephone recall with an unknown interviewer,telephone recall unknown interviewer,C0039457|C0034770|C0439673|C0021821
clinician-guided Internet-delivered cognitive behaviour therapy program,clinician-guided internet-delivered cognitive behaviour therapy program,C0871685|C0282111|C1516691|C0004927|C0039798|C1709697
OAD morphine,oad morphine,G0000000|C0026549
cardiopulmonary exercise ( CPX ),cardiopulmonary exercise cpx,C0553534|C0015259|C2959886
VK2,vk2,G0000000
blind approach,blind approach,C0150108|C0449445
Nicorandil,nicorandil,C0068700
culture-specific education program to promote breastfeeding,culture-specific education program promote breastfeeding,C0010453|C0013621|C1709697|C0033414|C0006147
myocardial ischaemic/reperfusion,myocardial ischaemic/reperfusion,C0027061|C0475224
cognitive behavior interventions,cognitive behavior interventions,C1516691|C0004927|C0886296
sham plus prompt laser,sham prompt laser,C0068899|C0871157|C0023089
spirometer,spirometer,C0183441
left pectoral pulse generator emulator,left pectoral pulse generator emulator,C0205091|C1521735|C0232117|C0237638|G0000000
calcium antagonists,calcium antagonists,C0006675|C0243076
intravenous saline placebo,intravenous saline placebo,C0348016|C0036082|C0032042
Fish oil,fish oil,C0016163|C0028908
EIS,eis,G0000000
androgen deprivation,androgen deprivation,C0002844|C0871712
imipenem,imipenem,C0020933
8.7 mumol,8 7 mumol,G0000000|G0000000|G0000000
"ICD alone ( control group , n=56 )",icd control n=56,C0021122|C0243148|C0369718
isoprenaline sulphate,isoprenaline sulphate,C0022245|C0038720
tacrolimus-based triple therapy,tacrolimus-based triple therapy,C0085149|C0205174|C0039798
data sets of the DCCT,data sets dcct,C1511726|C0036849|G0000000
growth hormone substitution,growth hormone substitution,C0018270|C0019932|C1555721
inflated cuff,inflated cuff,C0021398|C0441107
optimal dose,optimal dose,C2698651|C0178602
without any intervention after PTCA,intervention ptca,C0886296|C2936173
couple-responsible and therapist-responsible episodes,couple-responsible therapist-responsible episodes,C0010222|C0871525|C0332189
Chomsky 's principle of Full Interpretation,chomsky principle interpretation,G0000000|G0000000|C0459471
Cavitron ultrasonic surgical aspirator ( CUSA ) with bipolar cautery ( BP ) to CUSA with a radiofrequency coagulator,cavitron ultrasonic surgical aspirator cusa bipolar cautery bp cusa radiofrequency coagulator,G0000000|C0220934|C0543467|C0042226|G0000000|C0443156|C0007471|C0037623|G0000000|C2347883|G0000000
lanreotide,lanreotide,C0209211
"dorsiflexed 20 degrees , while the carpus was pushed in a volar direction by an impression in the plaster cast",dorsiflexed 20 degrees carpus pushed volar direction impression plaster cast,C0950959|C0450371|C0449286|C0043262|C1719958|C0443349|C0449738|C0596764|C0460977|C0179686
Pentaglobin,pentaglobin,C0070286
RT monotherapy,rt monotherapy,C0230425|G0000000
family economic empowerment,family economic empowerment,C0015576|C0013556|C0679959
self-face representations,self-face representations,C0036588|C1514861
budesonide,budesonide,C0054201
GnRH agonist therapy,gnrh agonist therapy,C0023610|C2987634|C0039798
a nurse assessment visit and follow-up interventions targeting risk factors for disability and falls,nurse assessment visit follow-up interventions targeting risk factors disability falls,C0028661|C1261322|C0545082|C0589120|C0886296|C1521840|C0035647|C1521761|C0231170|C0000921
Paracetamol,paracetamol,C0000970
selenium,selenium,C0036581
percutaneous transluminal coronary angioplasty ( PTCA ),percutaneous transluminal coronary angioplasty ptca,C0522523|C0522520|C0018787|C0162577|C2936173
antisecretory treatment,antisecretory treatment,G0000000|C0039798
oxidative,oxidative,C0311404
followed by the remainder of the local anesthetic at 10 ml/min 1 min later,remainder local anesthetic 10 ml/min 1 min,G0000000|C0205276|C0002932|C0450371|C0439445|G0000000|C0702093
codeine/acetaminophen,codeine/acetaminophen,C2351132
glibenclamide,glibenclamide,C0017628
Calcium supplementation,calcium supplementation,C0006675|C0242297
Physical therapy,physical therapy,C0031809|C0039798
calcium antagonist nifedipine,calcium antagonist nifedipine,C0006675|C0231491|C0028066
lamivudine tablet,lamivudine tablet,C0209738|C0039225
two theophylline ( CAS 58-55-9 ) sustained release preparations,theophylline cas 58-55-9 sustained release preparations,C0039771|G0000000|C0450371|C0443318|C0030685|C1521827
control bone,control bone,C0243148|C0262950
Amphotericin,amphotericin,C0002679
Fluoxetine,fluoxetine,C0016365
emergency abdominal surgery,emergency abdominal surgery,C0013956|C0000726|C0038894
Polyunsaturated fatty acids arachidonic acid ( ARA ),polyunsaturated fatty acids arachidonic acid ara,G0000000|G0000000|C0001128|G0000000|C0001128|C0325983
early acupuncture,acupuncture,C0001299
mizolastine or loratadine,mizolastine loratadine,C0171302|C0065180
dual parent and trainer-delivered qigong massage,dual parent trainer-delivered qigong massage,C1554184|C0030551|C0453962|C0282077|C0024875
clear liquid diet with 4L polyethylene glycol bowel preparation,liquid diet 4l polyethylene glycol bowel preparation,C0301571|C0012155|C4053562|C0032487|C0017945|C0021853|C1521827
alpha-7 nicotinic neurotransmission,alpha-7 nicotinic neurotransmission,C0439095|C0028040|C0027793
benzathine-penicillin,benzathine-penicillin,C0030829
Optisource,optisource,G0000000
HIF-1alpha activation,hif-1alpha activation,C0301821|C1879547
ECD/NMI,ecd/nmi,C1334885
fennel,fennel,C0553175
interview,interview,C0021822
antazoline,antazoline,C0003143
granulocyte/colony-stimulating factor,granulocyte/colony-stimulating factor,C0018183|C1521761
alterations to the sensory systems,alterations sensory systems,C1515926|C0445254|C0449913
povidone-iodine ( including alcohol-based ) formulations,povidone-iodine including alcohol-based formulations,C0032857|C0332257|C0001962|C0524527
15N-glycine,15n-glycine,C0017890
7-day and 14-day proton pump inhibitor-containing triple therapy,7-day 14-day proton pump inhibitor-containing triple therapy,C0332173|C0450371|C0033727|C0182537|C1999216|C0205174|C0039798
oftramadol 50 mg,oftramadol 50,G0000000|C0450371
AmB infused in lipid emulsion,amb infused lipid emulsion,C0002679|G0000000|C0023779|C0014020
transcutaneous electrical nerve stimulation ( TENS ),transcutaneous electrical nerve stimulation tens,G0000000|C0013790|C0027740|C1292856|C0014518
Diprosone cream ( 0.05 % ),diprosone cream 0 05 %,C0719963|C0700385|G0000000|C0450371|G0000000
paclitaxel/cisplatin chemotherapy,paclitaxel/cisplatin chemotherapy,C0672257|C0013216
conventional therapy ( control ),conventional therapy control,C0439858|C0039798|C0243148
vaccinated twice,vaccinated,C1116171
tiotropium,tiotropium,C0213771
mitomycin,mitomycin,C0002475
compression sclerotherapy therapy,compression sclerotherapy therapy,C0332459|C0036435|C0039798
Spirometric testing,spirometric testing,C0037981|C0039593
electrocautery division of the thyroid isthmus,electrocautery division thyroid isthmus,C0013804|C0152060|C0040132|C2985476
amphotericin B ( AmB ),amphotericin amb,C0002679|C0002679
daily Selaginella ( 30 g ) prepared into 50 ml decoction during the entire course of radiotherapy,daily selaginella 30 prepared 50 decoction entire radiotherapy,C0332173|C0996552|C0450371|C4082130|C0450371|G0000000|C0439751|C0034619
simple rehabilitation training,simple rehabilitation training,C0205352|C0034991|C0040607
dummy tablets,dummy tablets,G0000000|C0039225
Portex Profile,portex profile,G0000000|C1979963
EMP,emp,C1422169
imatinib,imatinib,C0935989
conventional liver resection technique,conventional liver resection technique,C0439858|C0023884|C0015252|C0449851
saphenous vein,saphenous vein,G0000000|C0042449
combination of both drugs,combination drugs,C0205195|C0013227
antioxidant vitamins,antioxidant vitamins,C0003402|C0042890
Ipratropium bromide nasal spray,ipratropium bromide nasal spray,C0027235|C0006222|C0028429|C1704413
7-hexanoyltaxol-eluting stent,7-hexanoyltaxol-eluting stent,G0000000|C0038257
"the SCION-PAIN program consisting of 3 modules : pharmacologic pain management , nonpharmacologic pain management and discharge management",scion-pain program consisting 3 modules pharmacologic pain management nonpharmacologic pain management discharge management,C0030193|C1709697|C0332529|G0000000|C1709061|C0031330|C0030193|C0001554|G0000000|C0030193|C0001554|C0012621|C0001554
PI and inhalation of lactose,pi inhalation lactose,C0429863|C0004048|C0022949
upright/inverted faces with direct/averted gaze,upright/inverted direct/averted gaze,C0522015|C0439851|C0553544
oral sildenafil,oral sildenafil,C0442027|C0529793
Sorafenib,sorafenib,C1516119
population-based oral screening,population-based oral screening,C0032659|C0442027|C0220908
oxytocin injection,oxytocin injection,C0030095|C0021485
"Drawtex , now rebranded as Vibriant RCD",drawtex rebranded vibriant rcd,G0000000|G0000000|G0000000|G0000000
Combined-modality treatment,combined-modality treatment,C0205195|C0039798
vitamins B ( 6 ) and B ( 12 ),vitamins 6 12,C0042890|G0000000|C0450371
low-flow anesthesia only,low-flow anesthesia,C0205251|C0002903
"1,3,4,14b-tetrahydro-2,7-dimethyl-2H-dibenzo ( b , f ) pyrazino- ( 1,2 -- d ) - ( 1,4 ) -oxazepine hydrogen maleate ( Org GC 94 ) .",1 3 4 14b-tetrahydro-2 7-dimethyl-2h-dibenzo pyrazino- 1 2 -- - 1 4 -oxazepine hydrogen maleate org gc 94,G0000000|G0000000|G0000000|G0000000|C2247463|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|C0020275|C0220874|C1522486|C3537453|C0450371
moderate-intensity ( 50 % of peak oxygen uptake ) 12-week training program,moderate-intensity 50 % peak oxygen uptake 12-week training program,C0205081|C0450371|G0000000|C0444505|C0030054|C0243144|C0450371|C0040607|C1709697
sunscreen,sunscreen,C0038818
mechanical ventilation,mechanical ventilation,C0443254|C0035203
vitamin D3 ( cholecalciferol ) supplementation,vitamin d3 cholecalciferol supplementation,C0042890|C3538936|C0008318|C0242297
VPA,vpa,G0000000
Periotest,periotest,G0000000
CD19+,cd19+,G0000000
panitumumab to bevacizumab and chemotherapy,panitumumab bevacizumab chemotherapy,C0879427|C0796392|C0013216
"goserelin , goserelin plus tamoxifen , tamoxifen alone",goserelin goserelin tamoxifen tamoxifen,C0120107|C0120107|C0039286|C0039286
DCT/CDDP,dct/cddp,C1413933
carbazochrome,carbazochrome,C0006972
"ultrasonic scaler and Periopolisher diamond-coated inserts ( US-POL ) , hand instruments ( MANUAL ) , Perioplaner-Periopolisher system ( PPL-POL ) and Periokit ultrasonic-designed scalers ( PERIOKIT ) .",ultrasonic scaler periopolisher diamond-coated inserts us-pol hand instruments manual perioplaner-periopolisher system ppl-pol periokit ultrasonic-designed scalers periokit,C0220934|C0684254|G0000000|C0057717|C0813036|C0017360|C0018563|C0348000|C0024763|G0000000|C0449913|C1418813|G0000000|C0220934|C0684254|G0000000
IFN-3 to 5-FU,ifn-3 5-fu,G0000000|C0016360
Hypnosis treatment,hypnosis treatment,C0020587|C0039798
TURP .,turp,C0040771
gemcitabine and tipifarnib,gemcitabine tipifarnib,C0045093|C1176289
ASC plus mitomycin vinblastine and cisplatin ( MVP ),asc mitomycin vinblastine cisplatin mvp,C3539025|C0002475|C0042670|C0008838|C0293442
BAs ;,bas,C1862288
coronary artery bypass graft ( CABG ) surgery,coronary artery bypass graft cabg surgery,C0018787|C0003842|C0741847|C0181074|C0010055|C0038894
EPA,epa,G0000000
lavender aroma,lavender aroma,C0524903|C0678586
distal tibiofibular manipulation,distal tibiofibular manipulation,C0205108|G0000000|C0185111
Hypnosis,hypnosis,C0020587
simplified neonatal resuscitation protocol,simplified neonatal resuscitation protocol,G0000000|C1552240|C0035273|C0442711
propofol without EDTA,propofol edta,C0033487|C0013618
tamsulosin,tamsulosin,C0257343
placebo-controlled alpha-2 interferon,placebo-controlled alpha-2 interferon,C1706408|C0439095|C0021747
EPL,epl,G0000000
EMT strategies,emt strategies,C1567665|C0679199
cisplatin-treated,cisplatin-treated,C0008838
EPO,epo,G0000000
Maternal dietary counseling,maternal dietary counseling,C2347083|C0012155|C0010210
purified Vero-cell rabies vaccine ( PVRV ),purified vero-cell rabies vaccine pvrv,C1998793|C0042542|C0034494|C0042210|G0000000
to receive ( group S ) or not ( group C ) sevoflurane,receive sevoflurane,C1514756|C0074414
Immunoglobulin,immunoglobulin,C0021027
pretreatment with lidocaine,pretreatment lidocaine,C1550147|C0023660
isolated myocardial revascularization,isolated myocardial revascularization,C0205409|C0027061|C0581603
soybean products .,soybean products,C0037733|C1514468
home-based intervention programme,home-based intervention programme,C0442519|C0886296|C1709697
TGMD-2,tgmd-2,G0000000
Metoclopramide,metoclopramide,C0025853
human tubal fluid medium ( HTF ),human tubal fluid medium htf,C0086418|C0175730|C0005889|C0009458|G0000000
creatine supplementation,creatine supplementation,C0010286|C0242297
G-CSF administration,g-csf administration,C0079459|C0001554
Fluorescein angiography,fluorescein angiography,C0060520|C0002978
CHOP,chop,C2945739
family economic empowerment intervention,family economic empowerment intervention,C0015576|C0013556|C0679959|C0886296
supranormal loading dose of N-acetylcysteine,supranormal loading dose n-acetylcysteine,G0000000|C1708715|C0178602|C0001047
caffeine ingestion,caffeine ingestion,C0006644|C0232478
sleep-deprivation,sleep-deprivation,C0037316
bupivacaine irrigation,bupivacaine irrigation,C0006400|C0022100
Continued lifestyle intervention combined with the same drugs as in phase II,continued lifestyle intervention combined drugs phase ii,C0549178|C0023676|C0886296|C0205195|C0013227|C0205390|G0000000
zinc,zinc,C0043481
formoterol 9 microg,formoterol 9 microg,C0060657|G0000000|G0000000
education seminar,education seminar,C0013621|G0000000
group-based psychosocial intervention program or usual care .,group-based psychosocial intervention program usual care,C0441833|C0542298|C0886296|C1709697|C3538928|C1947933
locomotion-to-reach task,locomotion-to-reach task,C0023946|C3540678
seal/cod liver oil,seal/cod liver oil,C0036492|C0023884|C0028908
Adjvant treatment,adjvant treatment,G0000000|C0039798
behavior training .,behavior training,C0004927|C0040607
Memory support system training,memory support system training,C0025260|C0183683|C0449913|C0040607
same concurrent treatment followed by sequential full-dose gemcitabine,concurrent treatment sequential full-dose gemcitabine,C0205420|C0039798|C1548958|C0443225|C0045093
"coumarin ( 1,2-benzopyrone )",coumarin 1 2-benzopyrone,C0010206|G0000000|G0000000
medications without exercising,medications exercising,C0013227|C0015259
compression sclerotherapy,compression sclerotherapy,C0332459|C0036435
"cuffed , tunnelled central venous catheters",cuffed tunnelled central venous catheters,C0441107|C0445346|C0205099|C0042449|C0085590
contrast,contrast,C0009924
Perindopril,perindopril,C0136123
EORTC Quality of Life Questionnaire ( QLQ-C30,eortc quality life questionnaire qlq-c30,C1516985|C0332306|C0376558|C0034394|G0000000
DMSA therapy,dmsa therapy,C0012384|C0039798
discrete SWAT subscale .,discrete swat subscale,C0443299|G0000000|G0000000
folic acid supplementation,folic acid supplementation,G0000000|C0001128|C0242297
physician intervention,physician intervention,C0031831|C0886296
incentive group,incentive,C0021147
gasless robot-assisted endoscopic thyroidectomy,gasless robot-assisted endoscopic thyroidectomy,G0000000|C3844190|C0014245|C0040145
X2 plus interpersonal phone contact ( X3 ),x2 interpersonal phone contact x3,C0450371|C3476070|C1515258|C0332158|C0450371
Optic Neuritis Treatment,optic neuritis treatment,C0015392|C0027813|C0039798
gentamicin,gentamicin,C0546866
ALVAC,alvac,G0000000
normal saline solution ( control ) .,normal saline solution control,C0205307|C0036082|C0037633|C0243148
"Mask ventilation , full neuromuscular paralysis and direct laryngoscopy",mask ventilation neuromuscular paralysis direct laryngoscopy,C0024861|C0035203|C1979768|C0522224|C0439851|C0023072
ECCE and PCL,ecce pcl,G0000000|C1332850
Cholecystectomy,cholecystectomy,C0008320
amlodipine maleate versus amlodipine besylate,amlodipine maleate versus amlodipine besylate,C0051696|C0220874|G0000000|C0051696|C0005040
ceftazidime,ceftazidime,C0007559
logMAR acuity test,logmar acuity test,G0000000|C0750509|C0022885
HOXB13 G84E mutation,hoxb13 g84e mutation,G0000000|G0000000|C0026882
fentanyl ( 0.125 % ropivacaine plus fentanyl 3 ug/mL ),fentanyl 0 125 % ropivacaine fentanyl 3 ug/ml,C0015846|G0000000|C1442061|G0000000|C0073571|C0015846|G0000000|C0439268
cerivastatin .,cerivastatin,C0528023
") from the M-HART treatment group who received two home visits after achieving a high psychological distress score ( ie , > or =5 ) on the General Health Questionnaire ( GHQ )",m-hart treatment received visits achieving psychological distress score =5 health questionnaire ghq,C0369637|C0039798|C1514756|C0545082|G0000000|C0205486|C0231303|C0449820|G0000000|C0018684|C0034394|G0000000
received 200 U/kg of r-HuEPO,received 200 u/kg r-huepo,C1514756|C1442061|C1300561|C0376541
betamethasone valerate,betamethasone valerate,C0005308|C0042280
ARB valsartan,arb valsartan,C3888198|C0216784
5 mg finasteride,5 finasteride,G0000000|C0060389
"usual care , peer counseling",usual care peer counseling,C3538928|C1947933|C0679739|C0010210
epinastine hydrochloride,epinastine hydrochloride,C0078442|C1512523
ETT,ett,G0000000
triple combination therapy,triple combination therapy,C0205174|C0205195|C0039798
protein ingestion,protein ingestion,C0033684|C0232478
ETV,etv,C1456409
meropenem,meropenem,C0066005
two antibiotics,antibiotics,C0003232
central venous catheters,central venous catheters,C0205099|C0042449|C0085590
A third group ( control group ) received no letters .,control received letters,C0243148|C1514756|C0282413
Intervention Half of the subjects received an additional home-based programme consisting of 40 weekly visits,intervention half subjects received additional home-based programme consisting 40 weekly visits,C0886296|C2825407|C0681850|C1514756|C1524062|C0442519|C1709697|C0332529|C0450371|C0332174|C0545082
wrist was immobilized in neutral flexion-extension,wrist immobilized neutral flexion-extension,C0043262|C0020944|C1882074|C0444509
spironolactone,spironolactone,C0037982
clinician-guided iCBT,clinician-guided icbt,C0871685|G0000000
"SQ29,852 , a new angiotensin converting enzyme inhibitor",sq29 852 angiotensin converting enzyme inhibitor,G0000000|C1442061|C0003018|G0000000|C0014442|C1999216
second,NULL,NULL
Fulvestrant,fulvestrant,C0935916
NT 201,nt 201,C0332126|C1442061
dofequidar + CAF,dofequidar + caf,C1698867|G0000000|C3812373
fluorescence,fluorescence,C0016315
fluoxetine monotherapy,fluoxetine monotherapy,C0016365|G0000000
umbilical cord serum therapy,umbilical cord serum therapy,C0041638|C1550235|C0229671|C0039798
nursing-led inpatient unit,nursing-led inpatient unit,C0006147|C0021562|C0439148
flexibility exercises,flexibility exercises,C0242808|C0015259
of ferrous sulfate,ferrous sulfate,C2346592|C0038720
stavudine,stavudine,C0164662
psychotherapy alone,psychotherapy,C0033968
amlodipine maleate,amlodipine maleate,C0051696|C0220874
Na+ program,na+ program,C0597484|C1709697
hypertonic saline and dextran ( HSD ),hypertonic saline dextran hsd,G0000000|C0036082|C0086140|C1837657
and 5-FU,5-fu,C0016360
antioxidant supplementation,antioxidant supplementation,C0003402|C0242297
manual assisted cognitive-behaviour therapy ( MACT ),manual assisted cognitive-behaviour therapy mact,C0024763|C1269765|C0945984|C0039798|G0000000
BTX-A,btx-a,C0006050
prediction,prediction,C0681842
EVL,evl,C1426797
piperacillin,piperacillin,C0031955
Bovine pericardium ( BP ),bovine pericardium bp,C0007452|C0031050|C0037623
Letrozole,letrozole,C0246421
regular opportunities to interact with a normally developing peer,regular opportunities interact developing peer,C0205272|G0000000|G0000000|G0000000|C0679739
clarithromycin-containing,clarithromycin-containing,C0055856
500 mg of sacharose ferric oxide ( Venofer ),500 sacharose ferric oxide venofer,C1442061|G0000000|C2346593|C0030015|C0529374
mofegiline,mofegiline,C0208987
anecortave acetate treatment,anecortave acetate treatment,C1693912|C0000975|C0039798
oral nutrition with a low-fat solid diet ( LFSD ),oral nutrition low-fat solid diet lfsd,C0442027|C0028707|C0242970|C0205208|C0012155|G0000000
high-fat ( Hi.F ) diet ( 60 % of energy ( En % ) fat ) or a reduced-fat ( Red.F ) diet ( 30 En % fat,high-fat diet 60 % energy en % fat reduced-fat red diet 30 en % fat,C0205250|C0012155|C0450371|G0000000|C0424589|C0014908|G0000000|C0424612|C0392756|C0332575|C0012155|C0450371|C0014908|G0000000|C0424612
spinal anesthesia,spinal anesthesia,C0521329|C0002903
fluconazole treatment,fluconazole treatment,C0016277|C0039798
Selamectin,selamectin,C0961275
re-training,re-training,C0556581
aquatic exercise classes,aquatic exercise classes,C0884441|C0015259|C0456387
chiropractic care,chiropractic care,C0008138|C1947933
colloid ( Haemaccel,colloid haemaccel,C0009361|C0918273
active ITD,active,C0205177
systemic chemotherapy ( 5-FU/FA ),systemic chemotherapy 5-fu/fa,C0205373|C0013216|C0016360
warfarin sodium 10 mg daily,warfarin sodium 10 daily,C0043031|C0037473|C0450371|C0332173
"new iron agent , ferric carboxymaltose",iron agent ferric carboxymaltose,C0302583|C0450442|C2346593|G0000000
810-nm diode laser treatment,810-nm diode laser treatment,C1442061|C1707755|C0023089|C0039798
"followed by standard treatment which consisted of combined irradiation and surgery or , in some instances , primary irradiation",standard treatment consisted combined irradiation surgery instances primary irradiation,C1442989|C0039798|C0332529|C0205195|C1282930|C0038894|C1550608|C0205225|C1282930
TLC D-99 ( 75 mg/m ( 2 ) ),tlc d-99 75 mg/m 2,G0000000|C0450371|C0450371|C0026410|G0000000
telephone call from the practice receptionist,telephone call practice receptionist,C0039457|C0679006|C0237607|C0402499
HA gel with preincorporated lidocaine,ha gel preincorporated lidocaine,C0018510|C0017243|G0000000|C0023660
"Er , Cr : YSGG , laser system",er cr ysgg laser system,C3810541|C0201975|G0000000|C0023089|C0449913
lomustine,lomustine,C0023972
Erig PMC,erig pmc,G0000000|C0070689
Cardiotocography,cardiotocography,C0007208
to receive either a cessation advice report and progress report that were tailored to individual-level characteristics or a cessation advice report that presented standardized ( non-tailored ) content .,receive cessation advice report progress report tailored individual-level characteristics cessation advice report standardized non-tailored content,C1514756|C1880019|C0150600|C0684224|C1272688|C0684224|C0402883|C0027361|C1521970|C1880019|C0150600|C0684224|G0000000|C1518422|C0423896
Standard sensory integration therapy ( SI ),standard sensory integration therapy si,C1442989|C0445254|C1158478|C0039798|G0000000
no such programme,programme,C1709697
WL+FAEE,wl+faee,C0815035
inactivated whole-virus H1N1 A/California/07/2009 vaccine,inactivated whole-virus h1n1 a/california/07/2009 vaccine,G0000000|C0444667|G0000000|C0006754|C0042210
acustimulation wrist band,acustimulation wrist band,C1515885|C0043262|C0175723
holmium laser enucleation of the prostate ( HoLEP ),holmium laser enucleation prostate holep,C0019846|C0023089|C0014392|C0033572|G0000000
telephone-only individual support and education,telephone-only individual support education,C0039457|C0027361|C0183683|C0013621
alfentanil,alfentanil,C0002026
placebo followed by anistreplase,placebo anistreplase,C0032042|C0078956
supplementation,supplementation,C0242297
CCD cameras and pulse oximeters,ccd cameras pulse oximeters,G0000000|C0179533|C0232117|C0182117
stretching,stretching,C0600080
local anaesthesia,local anaesthesia,C0205276|C0002903
Ginseng extract,ginseng extract,C0086767|C2828366
