third stage of labor,stage labor,C0205390|C0022864
intracerebral hemorrhage,intracerebral hemorrhage,C0442111|C0019080
18-70,18-70,C0450371
Sixty-six,sixty-six,C3816724
developing countries,developing countries,G0000000|C0454664
Five hundred and sixty-nine alcoholics,sixty-nine alcoholics,C0450388|C0687725
healthy,healthy,C3898900
acute leukemia,acute leukemia,C0205178|C0023418
80,80,C0450371
81,81,C0450371
82,82,C0450371
83,83,C0450371
84,84,C0450371
85,85,C0450371
mean age 51 yr,age 51 yr,C0001779|C0450371|C0439234
86,86,C0450371
laparoscopic surgical operations,laparoscopic surgical operations,C0031150|C0543467|C0038895
87,87,C0450371
88,88,C0450371
89,89,C0450371
60 autistic,60 autistic,C0450371|C0004352
ozone-induced lung injury,ozone-induced lung injury,C0030106|C0024109|C3263722
total hip replacement,total hip replacement,C0439175|C0019552|C0035139
41 overweight,41 overweight,C0450371|C0497406
anxiety in children with autism spectrum disorders :,anxiety children autism spectrum disorders,C0003467|C0008059|C0004352|C1883073|C0012634
Seventy-two,seventy-two,C3816957
Twenty-four Helicobacter pylori-negative,twenty-four helicobacter pylori-negative,C3715070|C0085508|C0034196
90,90,C0450371
high-functioning autism spectrum disorders,high-functioning autism spectrum disorders,C0205250|C0004352|C1883073|C0012634
91,91,C0450371
92,92,C0450371
93,93,C0450371
94,94,C0450371
95,95,C0450371
96,96,C0450371
97,97,C0450371
n = 6 per group,= 6,G0000000|G0000000
98,98,C0450371
99,99,C0450371
mild or moderate essential hypertension,mild moderate essential hypertension,C2945599|C0205081|C0205224|C0020538
second- or third-degree tear,second- third-degree tear,C0205436|C0443323|C0039409
serotonin reuptake inhibitors,serotonin reuptake inhibitors,C0036751|C0599702|C0243077
elective appendectomy,elective appendectomy,C0206058|C0003611
memory-impaired,memory-impaired,C0025260
mildly or transiently hypertensive nondiabetic obese,mildly transiently hypertensive nondiabetic obese,C0750532|G0000000|C0857121|G0000000|C0028754
"1,347",1 347,G0000000|C1442061
obese women,obese women,C0028754|C0043210
children ( 5-12 years ),children 5-12,C0008059|C0450371
heightened borderline personality ( BP ),heightened borderline personality bp,C0442803|C0205189|C0003944|C0037623
transrectal prostate biopsy,transrectal prostate biopsy,C0205518|C0033572|C0005558
non-Q-wave acute myocardial infarction,non-q-wave acute myocardial infarction,C1518422|C0205178|C0027061|C0021308
acute migraine attacks,acute migraine attacks,C0205178|C0149931|C1261512
Forty-seven patients completed the study .,forty-seven patients completed study,C3816449|C0030705|C0205197|C0557651
autism ages 5 through 7,autism ages 5 7,C0004352|C0001779|G0000000|G0000000
4 ;,4,G0000000
interferon alpha monotherapy relapsers,interferon alpha monotherapy relapsers,C0021747|C0439095|G0000000|G0000000
kala-azar,kala-azar,C0023290
control ( C ) group,control,C0243148
history of ulcer recurrence,history ulcer recurrence,C0019664|C0041582|C0034897
hernioplasties,hernioplasties,C0019328
patients with early rheumatoid arthritis :,patients rheumatoid arthritis,C0030705|G0000000|C0003864
early stage patients with systemic symptoms and/or bulky disease,stage patients systemic symptoms and/or bulky disease,C0205390|C0030705|C0205373|C0683368|G0000000|C0012173|C0012634
no pre-discharge contact with outpatient services,pre-discharge contact outpatient services,C0332152|C0332158|C0029921|C0557854
transradial artery catheterization,transradial artery catheterization,G0000000|C0003842|C0007430
COPD,copd,C0024117
45 ovarian cancer,45 ovarian cancer,C0450371|C0205065|C0006826
FIGO stage II epithelial ovarian carcinoma,figo stage ii epithelial ovarian carcinoma,C2983134|C0205390|G0000000|C0221908|C0205065|C0007097
language and developmental disabilities,language developmental disabilities,C0023008|C0458003|C0231170
developmental problems,developmental,C0458003
diabetic foot wounds,diabetic foot wounds,C0241863|C0016504|C0021501
human subjects with essential hypertension .,human subjects essential hypertension,C0086418|C0681850|C0205224|C0020538
elderly hypertensives,elderly hypertensives,C0001792|C0857121
One-hundred and nineteen,one-hundred nineteen,C0205447|C0450337
3837,3837,G0000000
septate uterus,septate uterus,C1519248|C0042149
non-nephrotic syndrome IgA nephropathy,non-nephrotic syndrome iga nephropathy,C1518422|C0039082|C2825347|C0022658
Chinese patients with ESRD .,chinese patients esrd,C0008120|C0030705|C0022661
fenfluramine,fenfluramine,C0015827
chronic hepatitis B,chronic hepatitis,C0205191|C0019158
Eastern Cooperative Oncology Group phase III E9486 clinical trial,eastern cooperative oncology phase iii e9486 clinical trial,C1707877|C0679729|C0027651|C0205390|C0439070|G0000000|C0205210|C0008976
irritability,irritability,C0022107
borderline personality,borderline personality,C0205189|C0003944
randomly assigned,randomly assigned,G0000000|C1516050
chronic hemodialysis,chronic hemodialysis,C0205191|C0019004
chronic hepatitis C,chronic hepatitis,C0205191|C0019158
80 postmenopausal,80 postmenopausal,C0450371|C0232970
acute pyelonephritis,acute pyelonephritis,C0205178|C0034186
81 schizophrenics,81 schizophrenics,C0450371|C3825704
low-birth-weight infants,low-birth-weight infants,C0024032|C0021270
group 2,2,G0000000
group 1,1,G0000000
during labour,labour,C0022864
High-risk patients undergoing CABG surgery,high-risk patients undergoing cabg surgery,C0332167|C0030705|G0000000|C0010055|C0038894
macrovascular disease,macrovascular disease,G0000000|C0012634
falciparum malaria,falciparum malaria,G0000000|C0024530
low-grade cytological abnormality,low-grade cytological abnormality,C1282907|C0205471|C1704258
pervasive development disorder,pervasive development disorder,C0205391|C0243107|C0012634
inguinal herniorrhaphy,inguinal herniorrhaphy,C0018246|C0019328
mild OSA .,mild osa,C2945599|C0520679
colorectal adenomas,colorectal adenomas,C0555952|C0001430
"acquired brain damage ,",acquired brain damage,C0439661|C0006104|C0010957
hypertriglyceridaemia,hypertriglyceridaemia,C0020557
healthy males,healthy males,C3898900|C0086582
42 women,42 women,C0450371|C0043210
( mean age = 23 months ),age = 23 months,C0001779|G0000000|C0450371|C0439231
Cannulation of the internal jugular vein,cannulation internal jugular vein,C0917707|C0205102|G0000000|C0042449
Eighty-six,eighty-six,C3816958
hypoglycemia unawareness,hypoglycemia unawareness,C0020615|C0041657
Twenty-three,twenty-three,C0724000
low-grade glioma,low-grade glioma,C1282907|C0017638
Two-hundred seven,two-hundred,C0205448
stable effort angina,stable effort angina,C0205360|C0015264|C0002962
poor pouch function,poor pouch function,C0032854|C0222017|C0031843
Graves ' disease,graves disease,G0000000|C0012634
low self-esteem,low self-esteem,C0205251|C0036597
high-normal body lead burdens,high-normal body lead burdens,C0205250|C0242821|C0023175|C2828008
sensory polyneuropathy,sensory polyneuropathy,C0445254|C0152025
Nineteen children,nineteen children,C0450337|C0008059
heroin addicts,heroin addicts,C0011892|C0858354
acquired nystagmus,acquired nystagmus,C0439661|C0028738
women and LVMi > 137 g/m2 for men,women lvmi 137 g/m2,C0043210|G0000000|C1442061|C0439267
unexplained subfertility,unexplained subfertility,G0000000|C0729353
patients with arterial occlusive disease of the lower extremities ],patients arterial occlusive disease lower extremities,C0030705|C0003842|C1947917|C0012634|C0441994|C0015385
2533,2533,G0000000
hazardous drinking,hazardous drinking,C0598697|C0001948
1200,1200,G0000000
urticaria,urticaria,C0042109
ages ranging from 18 to 40 years,ages ranging 18 40,C0001779|C1514721|C0450371|C0450371
post-cholecystectomy pain,post-cholecystectomy pain,C0687676|C0030193
Ten,ten,C0014518
Breastfeeding,breastfeeding,C0006147
Fredrickson Type IIb or Type IV hyperlipidaemia,fredrickson type iib type iv hyperlipidaemia,G0000000|C0332307|G0000000|C0332307|C0022326|C0020473
gynecologic pelvic malignancies,gynecologic pelvic malignancies,C0205480|C0030797|C0006826
unclassified chronic pain,unclassified chronic pain,C0205426|C0205191|C0030193
30 non-diabetic patients with hypertension,30 non-diabetic patients hypertension,C0450371|C1518422|C0030705|C0020538
ophthalmic surgery,ophthalmic surgery,C0015392|C0038894
1214,1214,G0000000
gallbladder lithiasis,gallbladder lithiasis,C0016976|C0023869
50 women,50 women,C0450371|C0043210
Forty type-2 diabetic,forty type-2 diabetic,C3816449|C0332307|C0241863
atherosclerosis,atherosclerosis,C0003850
nine females,females,C0015780
duodenal ulcer ( Du ),duodenal ulcer du,C0013303|C0041582|C0011535
"( 6 males , 6 females )",6 males 6 females,G0000000|C0086582|G0000000|C0015780
AC,ac,C0003354
DGE,dge,G0000000
caffeine responses and levels of saliva concentration of caffeine,caffeine responses levels saliva concentration caffeine,C0006644|C0871261|C0441889|C0036087|C0004268|C0006644
patients who undergo off-pump coronary artery bypass grafting ( CABG ) .,patients undergo off-pump coronary artery bypass grafting cabg,C0030705|G0000000|C1518543|C0018787|C0003842|C0741847|C0332835|C0010055
active rheumatoid arthritis,active rheumatoid arthritis,C0205177|G0000000|C0003864
138 standard,138 standard,C1442061|C1442989
"13,889",13 889,C0450371|C1442061
AS,NULL,NULL
Twenty-seven stage IIID,twenty-seven stage iiid,C0724000|C0205390|G0000000
16 male youth aged 12 to 19,16 male youth aged 12 19,C0450371|C0086582|C0001578|C0001779|C0450371|C0450371
Finland,finland,C0016132
adolescence,adolescence,C0001578
chronic pain,chronic pain,C0205191|C0030193
attention deficit/hyperactivity disorder ( ADHD ),attention deficit/hyperactivity disorder adhd,C0004268|C0162429|C0012634|C1263846
49 patients in each group,49 patients,C0450371|C0030705
"Forty-eight children ( 5 years to 16 years , 5 months )",forty-eight children 5 16 5 months,C3816449|C0008059|G0000000|C0450371|G0000000|C0439231
both sexes,sexes,C0009253
actinic keratosis,actinic keratosis,C0439681|C0022593
BP,bp,C0037623
premature ejaculation,premature ejaculation,C0151526|C0013746
age 1 to 9.99 years,age 1 9 99,C0001779|G0000000|G0000000|C0450371
Consecutive procedural angiograms of patients randomly assigned to EES ( n=669 ) or PES ( n=333 ) were analysed by an independent angiographic core laboratory .,consecutive procedural angiograms patients randomly assigned ees n=669 pes n=333 analysed independent angiographic core laboratory,C1707491|C0025664|C0002978|C0030705|G0000000|C1516050|G0000000|C0369718|C0016504|C0369718|G0000000|C0085862|C0002978|C0444669|C0022877
1233,1233,G0000000
28 patients,28 patients,C0450371|C0030705
streptococcal pharyngitis,streptococcal pharyngitis,C0038402|C0031350
patients with severe Raynaud 's syndrome :,patients severe raynaud syndrome,C0030705|C0205082|C0034734|C0039082
hay fever,hay fever,C1440666|C0015967
Twenty-two children,twenty-two children,C0724000|C0008059
frail older people,frail people,C0871754|C0027361
laparoscopy,laparoscopy,C0031150
severe COAD,severe coad,C0205082|C0024117
5.62 years,5 62,G0000000|C0450371
63 years,63,C0450371
CF,cf,C0009738
0 and 6 ;,0 6,G0000000|G0000000
after discharge from hospital and up to 12 months post-stroke,discharge hospital 12 months post-stroke,C0012621|C0019994|C0450371|C0439231|C0687676
obstructive sleep apnea syndrome .,obstructive sleep apnea syndrome,C0549186|C0037313|C0003578|C0039082
non-insulin-dependent diabetic,non-insulin-dependent diabetic,C1518422|C0241863
infertility,infertility,C0021359
Renal transplant patients,renal transplant patients,C0022646|C0040732|C0030705
11 Karen,11 karen,C0450371|G0000000
Fourty-four DES-exposed,fourty-four des-exposed,C0205450|C0332157
vaginal hysterectomy,vaginal hysterectomy,C0042232|C0020699
A total of 81 cases of autistic children,total 81 autistic children,C0439175|C0450371|C0004352|C0008059
acute lymphoblastic leukemia,acute lymphoblastic leukemia,C0205178|C0229613|C0023418
Sixty adult,sixty adult,C3816724|C0001675
laryngectomy,laryngectomy,C0023065
mild pancreatitis,mild pancreatitis,C2945599|C0030305
"( aged 18-75 years ) with , or with high risk of , coronary heart disease",aged 18-75 risk coronary heart disease,C0001779|C0450371|C0035647|C0018787|C0018787|C0012634
patients with disseminated testicular tumors ],patients disseminated testicular tumors,C0030705|C0205221|C0205070|C0027651
DS,ds,C3714751
12-93,12-93,C0450371
children with high-functioning autism spectrum disorders and anxiety :,children high-functioning autism spectrum disorders anxiety,C0008059|C0205250|C0004352|C1883073|C0012634|C0003467
43.7,43 7,C0450371|G0000000
DU,du,C0011535
"17,046",17 046,C0450371|C1442061
two groups,NULL,NULL
18 children,18 children,C0450371|C0008059
metastatic colorectal cancer,metastatic colorectal cancer,C0036525|C0555952|C0006826
cadaver femoral osteotomy,cadaver femoral osteotomy,C0006629|C0015811|C0029468
scheduled for knee arthroscopy,scheduled knee arthroscopy,C0086960|C0022742|C0003904
female,female,C0015780
ARDS,ards,C0035222
valvular disease ;,valvular disease,C0184252|C0012634
ED,NULL,NULL
wore frequent-replacement contact lenses,wore frequent-replacement contact lenses,G0000000|C0332183|C0332158|C0023317
premature infants,premature infants,C0151526|C0021270
Three-hundred and sixteen,three-hundred sixteen,C0205449|C3715157
reduction mammaplasty,reduction mammaplasty,C0301630|C0085076
moderate to severe pain,moderate severe pain,C0205081|C0205082|C0030193
"anterior/posterior ( A/P ) spinal fusion patients , posterior thoracolumbar scoliosis fusion patients ( PSF ) , and degenerative posterior lumbar fusion patients ( LF )",anterior/posterior a/p spinal fusion patients posterior thoracolumbar scoliosis fusion patients psf degenerative posterior lumbar fusion patients lf,C1999039|C0369773|C0521329|C0332466|C0030705|C0205095|C0450219|C0036439|C0332466|C0030705|G0000000|C0011164|C0205095|C0024090|C0332466|C0030705|C1416933
"patients with chronic hepatitis B , including those with pre-core mutant HBV infection",patients chronic hepatitis including pre-core mutant hbv infection,C0030705|C0205191|C0019158|C0332257|C0332152|C0596988|G0000000|C0009450
groin hernias,groin hernias,C0018246|C0019270
Thirty-seven children between 3 and 11 years of age with a diagnosis of autism and/or pervasive developmental disorder,thirty-seven children 3 11 age diagnosis autism and/or pervasive developmental disorder,C3816446|C0008059|G0000000|C0450371|C0001779|C0011900|C0004352|G0000000|C0205391|C0458003|C0012634
developmental delay,developmental delay,C0458003|C0205421
ages 7.8-9.9 years ),ages 7 8-9 9,C0001779|G0000000|G0000000|G0000000
schizophrenia in a state hospital,schizophrenia hospital,C0036341|C0019994
shoulder pain,shoulder pain,C0037004|C0030193
ventricular leads,ventricular leads,C0018827|C0023175
metastatic uveal melanoma,metastatic uveal melanoma,C0036525|C0042160|C0025202
advanced breast carcinoma,advanced breast carcinoma,C0205179|C0006141|C0007097
catheter,catheter,C0085590
anorexia,anorexia,C0003123
1-quadrant sub-Tenon 's anesthesia ( 1-QST ),1-quadrant sub-tenon anesthesia 1-qst,C1631280|C0542339|C0002903|G0000000
postoperative pain,postoperative pain,C0032790|C0030193
chronic tension-type headache,chronic tension-type headache,C0205191|C0233494|C0018681
15.2 +/- 1.1 yr,15 2 +/- 1 1 yr,C0450371|G0000000|G0000000|G0000000|G0000000|C0439234
OPV ( HDC ) vaccine,opv hdc vaccine,C0032375|G0000000|C0042210
PAF/PAFL,paf/pafl,C3811388
advanced gastric or gastroesophageal cancer adenocarcinoma,advanced gastric gastroesophageal cancer adenocarcinoma,C0205179|C0038351|C0744316|C0006826|C0001418
pentagastrin stimulated acid secretion,pentagastrin stimulated acid secretion,C0030859|C1948023|C0001128|C0036536
diagnosis of ASD,diagnosis asd,C0011900|C0003516
benign prostatic enlargement,benign prostatic enlargement,C0205183|C0033572|C0020564
high-risk coronary artery bypass graft surgery,high-risk coronary artery bypass graft surgery,C0332167|C0018787|C0003842|C0741847|C0181074|C0038894
elective spinal surgery .,elective spinal surgery,C0206058|C0521329|C0038894
GD,gd,G0000000
untreated or treated with GnRH analogue,untreated treated gnrh analogue,C0332155|C1522326|C0023610|C0243071
myocardial infarction ( MI,myocardial infarction mi,C0027061|C0021308|C3810814
females,females,C0015780
> 60 years,60,C0450371
162 non-insulin-dependent diabetic hypertensive,162 non-insulin-dependent diabetic hypertensive,C1442061|C1518422|C0241863|C0857121
autistic spectrum disorders,autistic spectrum disorders,C0004352|C1883073|C0012634
myeloproliferative diseases,myeloproliferative diseases,C1513792|C0012634
1292,1292,G0000000
older sarcopenic obese New Zealanders .,sarcopenic obese zealanders,G0000000|C0028754|G0000000
epidermal growth factor receptor-expressing,epidermal growth factor receptor-expressing,C0014520|C0018270|C1521761|C0597357
advanced human immunodeficiency virus disease,advanced human immunodeficiency virus disease,C0205179|C0086418|C0021051|C0042776|C0012634
Class II furcation defects,class ii furcation defects,C0456387|G0000000|C2825929|C0243067
50 years or older,50,C0450371
HD,hd,G0000000
HF,hf,C0018488
ischemic chest pain,ischemic chest pain,C0475224|C0817096|C0030193
83 of 86 individuals > or=25 years of age,83 86 individuals or=25 age,C0450371|C0450371|C0027361|C0450371|C0001779
unresectable disease,unresectable disease,C1519810|C0012634
acetaminophen overdose,acetaminophen overdose,C0000970|C0029944
benign prostatic hypertrophy,benign prostatic hypertrophy,C0205183|C0033572|C0020564
risperidone,risperidone,C0073393
Ninety two normal birthweight infants,normal birthweight infants,C0205307|C0005612|C0021270
depression after admission for a cardiac condition,depression admission cardiac condition,C0011570|C0184666|C0018787|C0012634
nasal pathologies,nasal pathologies,C0028429|C0030664
Ventricular Tachycardia Ablation in Coronary Heart Disease ( VTACH ),ventricular tachycardia ablation coronary heart disease vtach,C0018827|C0039231|C0547070|C0018787|C0018787|C0012634|C0042514
"4,824 female",4 824 female,G0000000|C1442061|C0015780
"2 , 49",2 49,G0000000|C0450371
advanced ovarian cancer,advanced ovarian cancer,C0205179|C0205065|C0006826
respiratory distress syndrome,respiratory distress syndrome,C0521346|C0231303|C0039082
psychiatric,psychiatric,C0205487
seasonal allergic conjunctivitis,seasonal allergic conjunctivitis,C0439601|C0700624|C0009763
primary biliary cirrhosis,primary biliary cirrhosis,C0205225|C0521378|C0023890
1298,1298,G0000000
moderate coronary artery disease,moderate coronary artery disease,C0205081|C0018787|C0003842|C0012634
coronary artery bypass grafting,coronary artery bypass grafting,C0018787|C0003842|C0741847|C0332835
II,ii,G0000000
IVF programme .,ivf programme,C0872104|C1709697
Smokers,smokers,C0337664
visual selective attention,visual selective attention,C0234621|C0036576|C0004268
48-63 yr,48-63 yr,C0450371|C0439234
transurethral resection of the prostate,transurethral resection prostate,C0205497|C0015252|C0033572
root fractures,root fractures,C0040452|C0016658
Zambian children,zambian children,G0000000|C0008059
Ten undernourished,ten undernourished,C0014518|C0162429
403,403,C1442061
low-risk patients,low-risk patients,C3272281|C0030705
6-18 years,6-18,C0450371
409,409,C1442061
low-normal intraocular pressure,low-normal intraocular pressure,C0205251|C3282905|C0033095
93 children,93 children,C0450371|C0008059
DLBCL,dlbcl,C0079744
patients undergoing high-dose chemotherapy,patients undergoing high-dose chemotherapy,C0030705|G0000000|C0444956|C0013216
not to blink,blink,C0005757
selected patients following aortocoronary bypass operation,selected patients aortocoronary bypass operation,C1707391|C0030705|C0450107|C0741847|C0543467
3023,3023,G0000000
Montreal Heart Attack,montreal heart attack,G0000000|C0018787|C0277793
MBC,mbc,C0065839
cigarette smoking,cigarette smoking,C0677453|C0037369
Nasopharyngeal carcinoma ( NPC ),nasopharyngeal carcinoma npc,C0027442|C0007097|G0000000
paced finger tapping,paced finger tapping,C0287990|C0016129|C0034115
412,412,C1442061
patients with mild or borderline hypertension :,patients mild borderline hypertension,C0030705|C2945599|C0205189|C0020538
Twenty memory-impaired,twenty memory-impaired,C0724000|C0025260
supraventricular tachyarrhythmias,supraventricular tachyarrhythmias,G0000000|C0080203
cardiovascular disease,cardiovascular disease,C0007226|C0012634
aged 4 to 12 years,aged 4 12,C0001779|G0000000|C0450371
aged 21-26,aged 21-26,C0001779|C0450371
never treated before with additive hormonal therapy,treated additive hormonal therapy,C1522326|C0442796|C0458083|C0039798
"age : 59 +/- 4 and 56 +/- 6 years , resp",age 59 +/- 4 56 +/- 6 resp,C0001779|C0450371|G0000000|G0000000|C0450371|G0000000|G0000000|C0231832
one giant-cell astrocytoma,giant-cell astrocytoma,C0017526|C0004114
Forty-seven,forty-seven,C3816449
obesity and/or diabetes were excluded,obesity and/or diabetes excluded,C0028754|G0000000|C0011847|C1554077
"participants were required to locomote in the dark to a lit target in three different conditions : monocular vision/target with image size , binocular vision/target with image size , and binocular vision/point-light target ( without image size ) .",participants required locomote dark lit target conditions monocular vision/target image size binocular vision/target image size binocular vision/point-light target image size,C0679646|C1514873|G0000000|C0332582|C1420803|C1521840|C0012634|G0000000|C0042789|C1704254|C0456389|C2594855|C0042789|C1704254|C0456389|C2594855|C0042789|C1521840|C1704254|C0456389
microalbuminuria,microalbuminuria,C0730345
"children and adolescents ( n=10 ) , mean age of 12.5 years",children adolescents n=10 age 12 5,C0008059|C0205653|C0369718|C0001779|C0450371|G0000000
299 older men,299,C1442061
423,423,C1442061
hemorrhoids,hemorrhoids,C0019112
inguinal herniorrhaphy .,inguinal herniorrhaphy,C0018246|C0019328
425,425,C1442061
Eighty postmenopausal,postmenopausal,C0232970
Foreign-born adolescents,foreign-born adolescents,C0376327|C0205653
metastatic malignant melanoma,metastatic malignant melanoma,C0036525|C0205282|C0025202
thrombotic disorders .,thrombotic disorders,C0087086|C0012634
terminal NPC,terminal npc,C0205088|G0000000
85 children at 18 and 20 months of age,85 children 18 20 months age,C0450371|C0008059|C0450371|C0450371|C0439231|C0001779
MDpsy,mdpsy,G0000000
tracheal intubation,tracheal intubation,C0040578|C0021925
patients with stage III colon cancer,patients stage iii colon cancer,C0030705|C0205390|C0439070|C0009368|C0006826
autistic syndromes .,autistic syndromes,C0004352|C0039082
septic morbidity,septic morbidity,C0333534|C0026538
adrenal adenomas,adrenal adenomas,G0000000|C0001430
2-10,2-10,C0450371
psychosis,psychosis,C0033975
thirty-two 4- to 5-year-olds,thirty-two 4- 5-year-olds,C3816446|G0000000|C0439234
433,433,C1442061
Male pseudohermaphrodites ( MPHs ) with inherited 5 alpha-reductase deficiency and decreased dihydrotestosterone production,male pseudohermaphrodites mphs inherited 5 alpha-reductase deficiency decreased dihydrotestosterone production,C0086582|C0555232|C1513008|C0439660|G0000000|C0439095|C0011155|C0205216|C0038148|C0033268
434,434,C1442061
gastroesophageal reflux,gastroesophageal reflux,C0744316|C0017168
Forty-one,forty-one,C3816449
advanced gastric cancer,advanced gastric cancer,C0205179|C0038351|C0006826
congestive heart failure,congestive heart failure,C0742742|C0018787|C0231174
551 women,551 women,C1442061|C0043210
439,439,C1442061
purulent meningitis,purulent meningitis,C0439665|C0025289
subclinical hypothyroidism,subclinical hypothyroidism,C0205211|C0020676
non-insulin-dependent diabetes,non-insulin-dependent diabetes,C1518422|C0011847
3 TMJs,3 tmjs,G0000000|G0000000
malignant disease,malignant disease,C0205282|C0012634
bipolar type II or bipolar NOS major depression - low manic switch rate,bipolar type ii bipolar major depression - low manic switch rate,C0443156|C0332307|G0000000|C0443156|C0205082|C0011570|G0000000|C0205251|C0338831|C1707719|C0871208
122 premenopausal women,122 premenopausal women,C1442061|C0279752|C0043210
child 's diagnosis of autism spectrum disorder,child diagnosis autism spectrum disorder,C0008059|C0011900|C0004352|C1883073|C0012634
after end-to-side neurorrhaphy .,end-to-side neurorrhaphy,C0444930|C0027909
MS,ms,C0039676
"metastatic , hormone-sensitive breast cancer",metastatic hormone-sensitive breast cancer,C0036525|C1512498|C0006141|C0006826
12 to 17 years,12 17,C0450371|C0450371
patients with mixed dyslipidaemia and MetS,patients mixed dyslipidaemia mets,C0030705|C0205430|C0242339|C0812270
severe protein-energy malnutrition,severe protein-energy malnutrition,C0205082|C0033684|C0162429
442,442,C1442061
444,444,C1442061
unimpaired,unimpaired,G0000000
445,445,C1442061
446,446,C1442061
Patients with known ER negative status were not studied,patients er negative status studied,C0030705|C3810541|C0205160|C0449438|C0557651
Fifty-seven,fifty-seven,C3816723
nausea at their first chemotherapy treatment,nausea chemotherapy treatment,C0027497|C0013216|C0039798
96 healthy,96 healthy,C0450371|C3898900
Cats over eight years of age,cats age,C0007450|C0001779
remission of chronic depression,remission chronic depression,C0544452|C0205191|C0011570
elderly,elderly,C0001792
underwent elective Caesarean section,underwent elective caesarean,G0000000|C0206058|C3841297
fragile X syndrome,fragile syndrome,C0302113|C0039082
ovarian cancers,ovarian cancers,C0205065|C0006826
450,450,C1442061
"11,403",11 403,C0450371|C1442061
high-risk patients for stent implantation,high-risk patients stent implantation,C0332167|C0030705|C0038257|C0021107
452,452,C1442061
OA,oa,C0029408
bleeding disorders,bleeding disorders,C0019080|C0012634
18 male adolescents,18 male adolescents,C0450371|C0086582|C0205653
456,456,C1442061
457,457,C1442061
advanced colorectal carcinoma,advanced colorectal carcinoma,C0205179|C0555952|C0007097
cirrhosis and ascites,cirrhosis ascites,C0023890|C0003962
deep eyelid peel,deep eyelid peel,C0205125|C0015426|C0237849
class III or IV heart failure,class iii iv heart failure,C0456387|C0439070|C0022326|C0018787|C0231174
dyspeptic,dyspeptic,G0000000
18 patients,18 patients,C0450371|C0030705
Twenty-one patients,twenty-one patients,C3715213|C0030705
Fisher grade III subarachnoid hemorrhage,fisher grade iii subarachnoid hemorrhage,C0325045|C0441800|C0439070|C1515008|C0019080
autism,autism,C0004352
55 healthy volunteers,55 healthy volunteers,C0450371|C3898900|C0042960
462,462,C1442061
atherosclerotic disease,atherosclerotic disease,C0333482|C0012634
463,463,C1442061
465,465,C1442061
PD,pd,G0000000
466,466,C1442061
2 panels,2 panels,G0000000|C0441833
"6,781",6 781,G0000000|C1442061
469,469,C1442061
with dyslipidemia,dyslipidemia,C0242339
birth asphyxia,birth asphyxia,C0005615|C0004044
8770,8770,G0000000
698 children,698 children,C1442061|C0008059
16 males/six females,16 males/six females,C0450371|C0086582|C0015780
2-59,2-59,C0450371
50 matched controls,50 matched controls,C0450371|C0150103|C0243148
16 to 60 years,16 60,C0450371|C0450371
LAPC,lapc,G0000000
female laryngectomees,female laryngectomees,C0015780|C1517739
early stage esophageal cancer,stage esophageal cancer,C0205390|C1522619|C0006826
epithelial ovarian carcinoma,epithelial ovarian carcinoma,C0221908|C0205065|C0007097
sub-umbilical surgery,sub-umbilical surgery,C0542339|C0038894
474,474,C1442061
human immunodeficiency virus-infected,human immunodeficiency virus-infected,C0086418|C0021051|C0042776
delayed gastric emptying ( DGE ),delayed gastric emptying dge,C0205421|C0038351|C1996907|G0000000
"anemia , iron deficiency , and heavy uterine bleeding",anemia iron deficiency heavy uterine bleeding,C0002871|C0302583|C0011155|C0439539|C0042149|C0019080
inactive asthmatic,inactive asthmatic,C0205254|C0004096
Three hundred and fifty-five women,fifty-five women,C3816723|C0043210
AIDS :,aids,C0001175
metastatic prostate cancer,metastatic prostate cancer,C0036525|C0033572|C0006826
adolescents,adolescents,C0205653
hemolytic-uremic syndrome,hemolytic-uremic syndrome,C0312853|C0039082
"children , adolescents , and adults with MR and PDDs",children adolescents adults pdds,C0008059|C0205653|C0001675|C3826971
481,481,C1442061
RA,ra,C3538806
484,484,C1442061
chronic coronary artery disease ( CAD ),chronic coronary artery disease cad,C0205191|C0018787|C0003842|C0012634|C3813548
lunar stent,lunar stent,C0037125|C0038257
486,486,C1442061
MetS,mets,C0812270
489,489,C1442061
osteoarthritic,osteoarthritic,G0000000
symptomatic paroxysmal,symptomatic paroxysmal,C0231220|C0205311
children and adolescents,children adolescents,C0008059|C0205653
Forty-one ( 41 ),forty-one 41,C3816449|C0450371
diabetes mellitus undergoing percutaneous coronary intervention,diabetes mellitus undergoing percutaneous coronary intervention,C0011847|G0000000|G0000000|C0522523|C0018787|C0886296
chronic kidney disease,chronic kidney disease,C0205191|C0022646|C0012634
type II diabetes mellitus,type ii diabetes mellitus,C0332307|G0000000|C0011847|G0000000
osteoarthritis,osteoarthritis,C0029408
15 healthy male,15 healthy male,C0450371|C3898900|C0086582
age 70.5 years,age 70 5,C0001779|C0450371|G0000000
chronic osteoarthritis,chronic osteoarthritis,C0205191|C0029408
patients with solid tumors .,patients solid tumors,C0030705|C0205208|C0027651
498,498,C1442061
receiving sirolimus and corticosteroids,receiving sirolimus corticosteroids,C1514756|C0072980|C0001617
acute renal failure,acute renal failure,C0205178|C0022646|C0231174
SH,sh,C0038108
4 wk,4 wk,G0000000|C0332174
catamenial epilepsy,catamenial epilepsy,C0025344|C0014544
disabled,disabled,C0018576
severe TBI patients .,severe tbi patients,C0205082|C0876926|C0030705
